material_id,material_type,quantity_kg,purity_percent,contamination_level,particle_size_mm,oxidation_level,moisture_content,collection_date,source_process,location,storage_conditions,hazardous_classification,temperature_c,ph_level,density_kg_m3,magnetic_properties,corrosion_resistance,thermal_conductivity,electrical_conductivity,value_per_kg,processing_difficulty
MAT_0001,lead_scrap,4847.091643347111,63.58290967658705,low,12.706734798571794,39.06802565983679,19.19734242403529,2023-01-01 00:00:00,casting,Maintenance_Depot,indoor_dry,non_hazardous,57.89657071264674,6.092474972032521,6547.057185156161,ferromagnetic,low,372.5798782567421,95.33278512623512,28.60385714278042,0.4801084557564437
MAT_0002,hafnium_scrap,1738.7515212518483,61.59996653366421,low,48.90926075378986,28.697721260004588,10.853974170531854,2023-01-01 01:00:00,casting,Machining_Shop,climate_controlled,low_hazard,43.41985108779177,5.111993861161792,5503.904316271129,ferromagnetic,low,74.49805561807956,24.534296855617118,20.65657590661824,0.6023259761991727
MAT_0003,iron_ore_tailings,2235.9219580838662,75.14959595340494,low,57.402895192615944,19.095608517313188,17.845265591006573,2023-01-01 02:00:00,mining,Extraction_Zone_A,refrigerated,non_hazardous,41.90877000512125,8.485317416194816,5819.484820745516,paramagnetic,high,94.42391151778821,48.70772597104899,22.262448208509134,0.40022708917035976
MAT_0004,iron_ore_tailings,1164.4970481444072,66.00418722187794,low,58.658792192490196,0.49056466422622513,10.37914451026564,2023-01-01 03:00:00,polishing,Casting_Facility,refrigerated,non_hazardous,36.04599713654011,8.067592032069694,7643.034593596127,ferromagnetic,medium,132.49299431352216,4.196813456543729,18.017570823409255,0.7998422914284647
MAT_0005,platinum_scrap,265.6233011570463,74.79779958664332,medium,78.20405248686606,15.031466076313308,18.095168417187224,2023-01-01 04:00:00,polishing,Smelter_Unit_1,indoor_humid,non_hazardous,57.25404328445517,7.793921425141593,7409.90276737626,ferromagnetic,high,96.42612832866644,49.369959695810294,36.86625455608774,0.312659385578181
MAT_0006,molybdenum_scrap,6818.657947918867,85.42372444529191,low,15.215557623668971,36.708852343671545,13.873574860150708,2023-01-01 05:00:00,polishing,Machining_Shop,outdoor_exposed,moderate_hazard,-1.8382041819086126,5.109897222756577,2811.7540444364045,ferromagnetic,medium,240.5214392601534,38.59965508735661,40.01292054104094,0.3171109182852268
MAT_0007,silver_scrap,3362.3585366579928,52.476271587414054,medium,7.085751497835527,22.06226575129142,13.903876365072987,2023-01-01 06:00:00,bending,Casting_Facility,vacuum_sealed,non_hazardous,52.34383731582139,6.904085842615634,4517.355108710582,ferromagnetic,medium,345.69250787843976,56.28256308919213,13.90400163237811,0.6473425464920368
MAT_0008,lead_scrap,6109.143306270797,70.36910743713294,low,26.7760356942312,19.321397554064692,7.664415307479873,2023-01-01 07:00:00,forging,Machining_Shop,refrigerated,non_hazardous,9.971661636811229,6.269864355399932,2601.1758028470977,diamagnetic,low,224.24355234727082,47.51228963972611,14.394467672680069,0.6847837915438858
MAT_0009,slag,1161.6285470635814,96.61972260410022,medium,84.67332271708594,23.79251994123836,15.27238886358737,2023-01-01 08:00:00,forging,Casting_Facility,outdoor_exposed,non_hazardous,12.374472156501605,8.154962131542824,5244.018975781061,diamagnetic,medium,164.4840071302189,64.92095796025772,28.655846779781736,0.7019987356372399
MAT_0010,cobalt_scrap,698.81733955404,75.63652629245931,low,31.19226132007889,33.50456619601632,10.407536248826393,2023-01-01 09:00:00,mining,Refinery_Section_B,climate_controlled,low_hazard,-1.882045087649723,6.619435781396748,3752.822153630882,paramagnetic,medium,65.95162440672985,54.366906840529474,14.489355923859971,0.513750773688027
