process_id,material_type,recycling_process,energy_consumption_kwh_per_kg,co2_emissions_kg_per_kg,water_consumption_l_per_kg,waste_generation_kg_per_kg,recycling_efficiency,circularity_score,sustainability_rating,renewable_energy_usage,toxicity_level,biodegradability,resource_depletion_factor,ecosystem_impact,environmental_score
ENV_0001,zinc_scrap,hydrometallurgy,6.592306505335077,8.519544978793743,23.37794711720224,0.07561912526733115,0.5966159434475433,0.7951537267728503,B,0.8864345278945449,high,0.04738972780438307,0.6457230987359879,minimal,0.5597160846039297
ENV_0002,lead_scrap,chemical_treatment,14.537215946241174,2.99927465847103,18.24025166220347,0.13719289889425038,0.7330913684283397,0.49161162862351493,A,0.36170730880667257,medium,0.7790456318226742,0.3187025288699976,significant,0.6006129582604085
ENV_0003,copper_scrap,thermal_treatment,10.696439307268312,9.896783854747317,23.74967185576754,0.20825684872207192,0.6694307877985568,0.568738718088372,B,0.5809582634601642,low,0.036982267631933845,0.16509664085486675,minimal,0.43386511700685476
ENV_0004,dust_particles,magnetic_separation,3.2681739917961807,7.656057141494913,4.1368957068145065,0.18556183525764416,0.5230677727820481,0.8835963788001553,C,0.3381554080119228,low,0.22142972272851527,0.12099327412506514,moderate,0.4715889749521827
ENV_0005,lead_scrap,chemical_treatment,9.992099132769852,6.052343005303782,87.5263657169111,0.3182240452395365,0.7912451029355959,0.23453491128035164,A,0.4258656810574266,medium,0.0038760861571406125,0.6867997099620085,moderate,0.4878833591891209
ENV_0006,dust_particles,hydrometallurgy,10.40165701170798,2.8194890588236485,81.72480205662043,0.4267426878118178,0.8564277049916349,0.317261935285132,B,0.24523732163868917,low,0.1275047001391619,0.8655093385271697,moderate,0.5848434911175453
ENV_0007,lead_scrap,electrometallurgy,5.7070867318599054,4.114556940002953,9.707250499582363,0.2510666624306649,0.7656930402593706,0.5139494938782547,A,0.04871801282271171,low,0.28344915814878985,0.552188458310973,moderate,0.5188047052179158
ENV_0008,iron_ore_tailings,thermal_treatment,3.0291084361587255,6.891106697053689,2.9930294436347284,0.36726554604873024,0.8352468369514632,0.5834345781740495,B,0.11799291360092234,high,0.27542275318994847,0.7818468641122908,minimal,0.48412634852882264
ENV_0009,zinc_scrap,hydrometallurgy,16.625054392969705,0.2856316579983271,25.157443040199983,0.1339673190928798,0.6032713058889894,0.49181626064654305,B,0.6143572024497547,low,0.3705152757836654,0.31912161190780824,significant,0.6936471346460065
ENV_0010,lead_scrap,magnetic_separation,9.270924434247183,2.6968464177779645,57.90649567505211,0.4260630621215352,0.7785778475948335,0.4199387354715314,B,0.42893725580386155,low,0.2844894132539581,0.1543264303764981,moderate,0.6224431600001897
ENV_0011,lead_scrap,magnetic_separation,13.631945872772556,8.121737086041916,6.326223013763686,0.3332052321994723,0.8701382239569441,0.5795128700216973,A,0.7088270901951453,low,0.2472061051171024,0.4249759945631828,minimal,0.5750573466491943
ENV_0012,lead_scrap,magnetic_separation,18.711887342335405,3.6756605415117476,46.55129924670602,0.4496433512717718,0.954873693550104,0.689734691497089,B,0.579228361677635,low,0.6014130130040982,0.6255858144597976,minimal,0.7299849024546237
ENV_0013,copper_scrap,electrometallurgy,13.945533034250115,9.61489586252393,3.4670098349959337,0.018188415915590755,0.9141019676922569,0.2510690313758952,A,0.9757550036632161,high,0.02385549167975336,0.4779928748721976,minimal,0.5311485214397814
ENV_0014,dust_particles,mechanical_recycling,14.753048040277978,6.290889278669463,48.859536007572274,0.4584781930702036,0.7592108094195225,0.4251264135011159,B,0.14733981327284396,low,0.013473496404242714,0.5449094369849411,minimal,0.45352980982056484
ENV_0015,zinc_scrap,hydrometallurgy,3.0947838951543583,9.527624661483177,0.015235620406679194,0.1116935210287493,0.5642395708670612,0.4996456489095264,C,0.7247466516893619,low,0.0881620553631847,0.5427464072143965,moderate,0.4283215915354007
