project_id,input_material,output_product,input_quantity_kg,output_quantity_kg,success_rate,profit_margin,processing_time_days,environmental_impact_score,customer_satisfaction,project_status,project_date,investment_required,roi_percentage,risk_level,innovation_level,market_acceptance,scalability,efficiency_ratio,sustainability_score
PROJ_0001,nickel_scrap,concrete_aggregate,26400.238675814617,13209.102392250034,0.8077723149616248,-0.028779013041232804,3.6285259202019025,0.57766667730487,0.9753953952280189,in_progress,2020-01-01,69261.46761576066,32.6233501391783,medium,innovative,0.6842834201259987,low,0.5003402641337086,0.7660169839788411
PROJ_0002,dust_particles,automotive_parts,4973.56380788722,2708.011035554091,0.8461858305319152,0.40800142073692147,55.66696223313064,0.5208427316363443,0.8047586879097209,completed,2020-01-02,153812.4165961504,23.044790571124896,high,improved,0.6297299086694464,high,0.5444810080167565,0.7036204481870285
PROJ_0003,nickel_scrap,automotive_parts,1427.9427588377791,6384.118285596226,0.9223245334052459,0.194426965330039,79.18106651759634,0.8161225479477182,0.40032094495250214,completed,2020-01-03,152566.37680228855,-3.4672477094738463,medium,innovative,0.9676578117556471,medium,4.470850281696404,0.7232426626864117
PROJ_0004,dust_particles,cans,280.494146883343,2770.200554169764,0.6573161640894152,-0.0017027109606768136,49.79986260678761,0.5550957279336105,0.6996284879610198,in_progress,2020-01-04,252798.29080903498,9.015776656750603,low,conventional,0.7490327997326307,medium,9.876143887315715,0.6291216867885747
PROJ_0005,lead_scrap,new_steel,235.1827028067369,3491.388652234746,0.8583666497059049,-0.14453412722877693,89.57292504664872,0.9132997881268242,0.7961368107735082,completed,2020-01-05,142734.84609988105,23.234810635599583,low,conventional,0.6741723112770879,medium,14.845431277757788,0.8616709533945537
PROJ_0006,lead_scrap,construction_materials,5541.14975143857,5036.040416735726,0.9780764089264995,0.44333944926636865,20.31264414773343,0.7100760827981912,0.9563869958146364,completed,2020-01-06,117016.18147276975,27.21833923134279,low,innovative,0.9349765612789309,medium,0.9088439480323176,0.8643694545416172
PROJ_0007,zinc_scrap,construction_materials,396.9077697320698,1827.2552245118115,0.9009844054222756,0.4212763546010529,10.283071486349858,0.8462205632641392,0.43179838062178433,in_progress,2020-01-07,6785.555999484954,46.40987803776468,high,innovative,0.7306107201056281,high,4.60372752527694,0.7383230611188737
PROJ_0008,copper_scrap,automotive_parts,2544.515654220027,29675.15719319214,0.9846939632623806,-0.18000186164545426,11.303863440472584,0.8100749985112362,0.6121323503004439,completed,2020-01-08,79675.14576023095,13.866847181237878,low,improved,0.6465609996739701,medium,11.662399146170117,0.8030778934733419
PROJ_0009,slag,ceramics,6031.664563796434,4374.560368749124,0.7420768598753815,-0.15096917496326398,57.850559560896876,0.6039916004783343,0.654305050567134,completed,2020-01-09,46225.81492769623,20.722073123198918,medium,breakthrough,0.4501560548185802,medium,0.7252658569586801,0.6605112133240884
PROJ_0010,dust_particles,new_aluminum,7907.890574316425,3648.947777092217,0.9866533601483449,0.33361186788656555,89.75137733850889,0.7685630427087496,0.8922154380554717,completed,2020-01-10,255080.82390958027,12.86579157971395,medium,innovative,0.34894066775757765,medium,0.46143124298449717,0.8710858565446449
PROJ_0011,dust_particles,concrete_aggregate,15811.218227237156,1117.471123360386,0.6316026069902848,0.413709228477462,80.19110614169361,0.89692234270984,0.5030759927248036,completed,2020-01-11,129388.4530428347,-3.4633005658486504,low,conventional,0.9497712825355717,medium,0.07067583960326201,0.6991725169984625
PROJ_0012,copper_scrap,road_base,3169.038366592576,8603.05763891459,0.6646317114138575,0.3913557097001938,40.244231043195136,0.9774377294761469,0.9931328633368852,completed,2020-01-12,71645.27998075007,-9.850533321214161,low,improved,0.8106814127529491,low,2.714721831583503,0.8883044642156817
PROJ_0013,nickel_scrap,automotive_parts,215.083137667207,2536.137111453974,0.6902522721627824,-0.09401777028945829,54.21074077810036,0.5545655987003729,0.8867043521421006,completed,2020-01-13,86957.36583536095,47.28661890226002,low,conventional,0.4878944760669228,low,11.79142697545206,0.694913226771614
PROJ_0014,zinc_scrap,automotive_parts,3071.1485871282607,25138.05446272426,0.9569037366300367,0.38318272918383667,35.98434699934897,0.5610309614119683,0.8001726225104184,completed,2020-01-14,30092.704681859024,1.1257253845356052,low,innovative,0.8255594319293806,high,8.185228994807478,0.7515352923069238
PROJ_0015,iron_ore_tailings,automotive_parts,10049.145992814732,3213.8011701241417,0.635207744446876,-0.16984999150243243,19.16066536150912,0.7738161332272956,0.7400181629973143,completed,2020-01-15,67306.603668478,46.95082862197528,low,conventional,0.5512810524299258,low,0.31980838694373137,0.7220942255241753
