product_id,product_type,market_demand_trend,price_per_kg,demand_volume_kg,seasonality,geographic_region,quality_requirements,certification_required,market_maturity,competition_level,price_volatility,growth_rate,market_size_kg,customer_segments,market_opportunity,competitive_advantage
PROD_0001,medical_devices,stable,53.711626606265504,31593.988514389515,high,Oceania,high,False,mature,medium,0.32640119487887403,-0.02266618916570038,376575.80491800926,Mixed,-38463.71868378879,0.6160528127070404
PROD_0002,concrete_aggregate,increasing,7.541014119274507,9644.16197188727,low,North_America,medium,True,growing,medium,0.3230043643575934,0.2250258380615583,280901.485405751,B2B,16365.40047822186,0.6991485687396188
PROD_0003,aerospace_components,stable,12.546378348605264,2994.430034151379,high,North_America,medium,False,mature,high,0.15498301697687364,0.06847544256701701,959234.4923722149,B2B,2572.5711676701594,0.6303468050746468
PROD_0004,paint_pigments,stable,21.664671449506656,93460.41855640456,low,Asia_Pacific,medium,True,growing,high,0.42272247823783443,0.22350665462072442,1248613.3412269023,B2C,452553.8741627687,0.4326233334808259
PROD_0005,marine_equipment,stable,10.494526133785811,40953.00070536536,low,Oceania,low,True,emerging,high,0.46880219714175375,0.08257921208939312,182208.58061359782,B2B,35491.086689982396,0.46930509540854654
PROD_0006,electrical_wire,increasing,41.41562678758082,18864.783018973136,high,North_America,medium,True,emerging,low,0.4595444747933615,0.10665234463004128,139511.37921219005,B2B,83327.13695229465,0.7173953908938422
PROD_0007,automotive_parts,stable,65.77825233430772,74293.04780222703,high,Asia_Pacific,low,False,growing,medium,0.254120715693875,0.19883086747004933,1114067.6500284604,B2C,971659.9740058851,0.5209472494805889
PROD_0008,new_aluminum,decreasing,97.30694419923424,10897.882920092205,low,Middle_East,high,True,mature,high,0.4164141690446084,-0.022452836189199268,453963.17381305277,Government,-23809.878540213864,0.6800637324678455
PROD_0009,electrical_wire,increasing,74.32833920339439,42451.746124728816,medium,South_America,medium,True,mature,high,0.35089171883768244,0.0916501957702407,709450.8255005135,B2B,289190.0752897444,0.6952503009862636
PROD_0010,filters,increasing,35.064975558733046,107665.90472472635,low,Oceania,high,True,emerging,high,0.49038084459365094,0.2932714935025042,53568.989003464405,Government,1107188.5491298928,0.7046968742817565
